#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.208801E-03   0.189572E+06   0.189568E+06   0.252442E+06   0.252394E+06   0.000000E+00   0.189571E+06   0.189571E+06   0.198892E+06  -0.605161E+00   0.188705E+06   0.188704E+06   0.924412E+01
   0.230761E-03   0.189568E+06   0.189564E+06   0.252366E+06   0.252308E+06   0.000000E+00   0.189567E+06   0.189567E+06   0.198885E+06  -0.605139E+00   0.188701E+06   0.188700E+06   0.102161E+02
   0.255030E-03   0.189563E+06   0.189559E+06   0.252273E+06   0.252202E+06   0.000000E+00   0.189563E+06   0.189563E+06   0.198876E+06  -0.605113E+00   0.188696E+06   0.188695E+06   0.112902E+02
   0.281852E-03   0.189558E+06   0.189552E+06   0.252160E+06   0.252073E+06   0.000000E+00   0.189557E+06   0.189557E+06   0.198866E+06  -0.605080E+00   0.188691E+06   0.188689E+06   0.124771E+02
   0.311495E-03   0.189551E+06   0.189544E+06   0.252022E+06   0.251916E+06   0.000000E+00   0.189550E+06   0.189550E+06   0.198854E+06  -0.605041E+00   0.188684E+06   0.188682E+06   0.137887E+02
   0.344255E-03   0.189542E+06   0.189534E+06   0.251853E+06   0.251724E+06   0.000000E+00   0.189541E+06   0.189541E+06   0.198838E+06  -0.604993E+00   0.188675E+06   0.188673E+06   0.152380E+02
   0.380461E-03   0.189532E+06   0.189522E+06   0.251647E+06   0.251490E+06   0.000000E+00   0.189531E+06   0.189531E+06   0.198820E+06  -0.604934E+00   0.188665E+06   0.188662E+06   0.168394E+02
   0.420474E-03   0.189520E+06   0.189507E+06   0.251396E+06   0.251204E+06   0.000000E+00   0.189518E+06   0.189518E+06   0.198797E+06  -0.604862E+00   0.188652E+06   0.188649E+06   0.186089E+02
   0.464696E-03   0.189504E+06   0.189488E+06   0.251089E+06   0.250855E+06   0.000000E+00   0.189502E+06   0.189502E+06   0.198769E+06  -0.604774E+00   0.188637E+06   0.188632E+06   0.205639E+02
   0.513568E-03   0.189486E+06   0.189466E+06   0.250715E+06   0.250429E+06   0.000000E+00   0.189483E+06   0.189483E+06   0.198736E+06  -0.604667E+00   0.188618E+06   0.188613E+06   0.227237E+02
   0.567580E-03   0.189463E+06   0.189439E+06   0.250259E+06   0.249910E+06   0.000000E+00   0.189459E+06   0.189459E+06   0.198694E+06  -0.604536E+00   0.188595E+06   0.188589E+06   0.251098E+02
   0.627273E-03   0.189435E+06   0.189406E+06   0.249703E+06   0.249278E+06   0.000000E+00   0.189431E+06   0.189431E+06   0.198644E+06  -0.604377E+00   0.188567E+06   0.188559E+06   0.277454E+02
   0.693245E-03   0.189401E+06   0.189366E+06   0.249024E+06   0.248507E+06   0.000000E+00   0.189396E+06   0.189396E+06   0.198583E+06  -0.604182E+00   0.188533E+06   0.188523E+06   0.306564E+02
   0.766154E-03   0.189360E+06   0.189317E+06   0.248198E+06   0.247569E+06   0.000000E+00   0.189353E+06   0.189353E+06   0.198508E+06  -0.603945E+00   0.188492E+06   0.188479E+06   0.338711E+02
   0.846731E-03   0.189309E+06   0.189257E+06   0.247193E+06   0.246427E+06   0.000000E+00   0.189301E+06   0.189301E+06   0.198417E+06  -0.603655E+00   0.188441E+06   0.188426E+06   0.374207E+02
